-78,85
-7,-80
-91,53
-81,-19
-37,-4
-94,31
-43,-9
-87,64
-92,-13
95,30
92,97
33,-71
38,50
55,-82
-13,80
-74,94
85,49
8,82
31,28
86,-30
-89,100
-97,-94
-42,-14
-6,-30
-70,-53
-33,92
-44,-49
-8,-11
64,86
-10,24
-45,-39
-11,66
67,13
66,45
-27,32
15,29
-15,51
-86,55
97,87
49,-23
76,67
-42,-15
92,-72
-85,44
4,53
-49,9
-34,-19
79,-3
-56,11
-97,77
-66,29
-25,-95
-63,93
29,-48
-11,38
-16,55
83,-37
-56,-36
-78,91
27,-88
-4,64
75,7
-85,63
31,-65
94,-83
-73,-62
39,13
6,-26
-24,37
-98,-77
14,67
-75,-29
34,59
-33,-68
69,81
-72,-69
-61,-18
-79,-38
-95,-43
22,21
96,21
-74,-13
-34,23
-35,63
-60,90
-69,91
44,-54
21,-58
-71,-25
44,66
77,-55
30,79
20,-17
64,10
-88,-4
48,-48
53,19
-71,100
74,-63
34,-51
-42,34
-15,63
94,-64
96,-86
92,-99
-67,37
-72,44
-7,-61
-25,-11
-62,-66
57,-44
73,61
82,72
-51,-91
30,-94
0,67
-73,-87
-27,-5
-100,7
-65,-77
-92,-78
18,86
25,-22
-54,40
33,-90
-19,35
88,48
-7,72
26,20
-53,91
58,24
10,-15
-17,41
78,40
15,97
1,26
-96,-67
-13,-88
-77,-66
95,61
82,-31
-93,-17
96,-46
80,-1
-84,24
41,-3
-67,-13
-52,66
30,-46
89,2
-90,48
15,55
-31,-89
-89,-35
-38,-63
5,60
-65,72
-34,80
-50,48
-38,49
-73,39
33,2
0,-56
75,-47
-22,90
86,96
24,81
86,-25
-96,95
49,52
-68,3
-12,-68
73,73
91,39
99,-68
-83,-66
-9,-92
-72,24
-40,-11
-89,-76
56,-26
77,67
-60,-50
100,-28
48,-33
2,15
-1,34
-73,-77
20,83
-67,19
-42,-25
23,4
-30,80
90,40
-49,12
-59,80
41,-52
3,-35
37,84
36,28
61,-23
94,-17
-61,6
21,-71
22,-59
41,-12
-17,42
-67,74
49,-95
76,49
66,-55
23,100
46,-26
19,-31
58,17
-62,8
98,-44
92,-41
99,-67
-51,52
30,-64
90,-21
-46,-11
53,1
59,71
-65,-88
-30,99
7,-15
68,-55
-90,50
-68,91
-78,77
-82,-39
43,-21
-98,87
-1,-91
49,91
70,-76
83,7
32,-63
54,-81
-68,71
91,-82
52,83
79,25
-78,-37
1,28
-66,-4
-90,-10
34,-60
-27,7
86,87
-10,-10
81,72
-59,88
15,-38
-52,99
-43,-60
2,51
21,61
-40,67
-13,-14
-41,-78
51,26
33,-23
-27,29
44,-51
22,17
-49,33
72,-5
-57,43
30,-37
-87,49
-26,10
40,-31
73,-69
-75,51
-37,-2
-18,1
7,80
-24,64
-89,-77
15,0
54,85
70,43
-46,78
30,91
98,58
-7,3
41,91
45,-31
61,-39
-43,53
80,-87
-50,-89
-45,-84
-30,-66
30,30
-63,65
98,6
-81,-21
-20,69
95,-29
-44,-95
64,93
-17,86
58,16
66,99
20,41
77,-96
-14,-35
39,-100
-65,-7
-51,-63
6,-94
9,16
0,10
57,-47
-56,-63
96,17
16,-21
84,75
55,50
62,57
-62,81
-16,74
3,25
9,-45
-11,-33
60,-44
-8,0
-4,-84
-3,4
-36,22
-43,-83
29,-33
38,-95
99,47
-74,15
-19,-8
37,-66
69,68
-59,-29
55,-26
-52,73
9,-40
44,-65
25,21
-53,-25
-68,-1
-43,89
-95,37
-60,62
60,-83
-30,-79
-34,49
96,38
-65,51
-96,-48
25,100
-85,37
93,2
-99,-24
-47,-63
50,53
-96,-78
-39,-59
50,-17
-99,-28
-6,-32
-72,46
38,95
74,-57
-64,-67
-80,4
36,-23
-48,33
-13,-67
-75,-2
89,-7
64,-78
-2,58
85,-58
52,-49
-81,-49
33,6
66,-55
-78,86
24,-54
5,30
-59,58
-9,45
-91,-44
11,35
-24,-38
-82,-8
-74,8
-34,88
51,30
34,3
-94,1
50,12
-23,36
-22,-15
13,-22
17,68
43,-14
-26,-46
-1,-95
96,78
53,88
71,82
9,91
6,37
-86,-54
81,-81
-96,75
-89,-66
0,75
-70,66
36,70
-17,-45
17,-24
-57,-17
17,-45
97,-98
-29,18
2,-30
-2,30
95,59
46,88
39,96
91,68
42,90
-80,37
75,84
20,-71
-82,3
53,7
-98,91
-79,-1
-23,79
-79,-72
-51,-23
-83,23
100,25
-80,97
66,63
-17,-76
-59,82
-42,-97
-17,-95
-22,-32
-98,52
72,97
66,73
-44,-90
68,65
-51,90
-10,-63
39,-46
-2,-50
100,-45
54,-83
-26,34
-89,79
-4,-96
30,-81
72,14
-20,46
5,-94
-56,24
88,57
-11,66
-78,-36
-5,93
-79,-86
36,78
95,-93
78,47
-88,-58
-90,-97
-66,34
47,-8
-47,-8
14,82
63,-63
71,-14
-29,99
-73,-76
61,73
82,95
-51,44
39,-49
-72,42
37,69
36,54
41,-40
82,13
17,79
65,-64
81,25
-1,-40
20,-77
-28,51
-47,-56
-86,-42
-58,-60
-42,15
81,-67
-9,79
-38,96
-2,-72
-97,-77
38,-52
-87,37
32,-87
-60,40
-1,94
92,23
-74,49
26,55
87,77
-57,-9
28,-19
-2,-88
19,96
-53,-73
95,-78
56,-79
11,95
29,92
-4,10
57,86
-48,-37
20,71
-12,60
16,-19
57,64
-7,22
-20,-71
45,94
28,-32
-89,56
-46,-49
-96,-66
-89,79
18,-31
72,0
-66,43
-60,3
-50,56
-97,29
-54,-21
-49,-49
-48,-92
0,20
-77,8
-71,-70
61,29
-54,31
14,-88
-92,-59
90,50
5,-66
85,-49
34,84
24,68
95,-98
-94,-44
-44,-29
94,54
5,1
37,-8
-70,-79
5,-92
19,-25
-58,40
-93,-38
-97,-35
-98,40
85,45
51,-38
98,31
28,-18
64,55
-80,1
-47,41
74,-80
81,51
77,-9
-17,-43
-41,77
87,96
61,82
52,9
-58,-35
48,-86
-86,-66
-25,-81
-64,-13
-24,-5
-85,-83
-58,17
-55,30
23,-11
-14,13
-26,-79
8,99
-66,63
-63,10
-34,93
18,-81
52,-66
77,33
20,-60
-34,24
-94,-76
-74,-9
-78,-48
65,27
8,81
74,-39
-88,65
-63,12
-8,-64
-45,-75
96,-22
-63,83
-17,15
86,-56
-3,0
-78,90
18,62
-41,-89
-97,96
-21,-56
-55,7
49,-18
-69,63
-55,98
-44,38
0,6
-38,-82
33,-37
16,-33
60,81
15,22
23,-81
-32,-96
38,54
-66,-68
5,8
-8,50
23,-33
56,19
88,55
-50,-55
10,93
58,69
61,55
20,-94
-30,-4
89,-88
-5,91
55,-47
55,-65
69,-25
-12,91
-31,-93
52,-62
-88,0
57,86
21,-99
24,-82
-35,-96
15,-76
-87,84
14,-83
2,-17
-32,73
-3,-51
14,-42
-33,-3
94,85
-75,96
33,48
-56,54
-18,86
35,-83
-73,-100
-36,-10
-17,-43
-80,-66
-91,100
-23,57
-28,-24
-10,-73
-59,-14
-29,-72
-49,71
-66,69
34,-6
1,11
59,0
23,-57
43,-80
-74,92
35,10
-79,24
-41,-20
3,3
-78,35
98,34
54,-63
-4,93
-79,17
4,98
28,53
62,-40
-80,-16
-78,15
44,0
-95,-6
52,90
-73,16
-51,-81
62,13
83,-53
26,32
-27,79
-47,-61
-30,83
-3,-10
-6,20
-14,5
100,-88
-79,46
-82,87
-66,38
-20,-85
-87,-87
89,83
87,-59
-19,69
-46,82
-92,-49
-8,-86
-42,64
-24,-75
48,6
-96,45
72,44
-11,38
-41,22
-17,-31
-5,84
95,-18
18,55
-86,11
-44,-28
23,100
54,-15
83,13
-55,-96
-83,48
-78,-73
-94,27
43,-68
87,-69
-98,26
36,-23
19,-71
84,48
-23,-20
45,-27
-11,-64
-17,40
-34,-91
-83,-82
86,14
38,-55
-16,12
20,78
43,27
-11,-65
12,-16
-77,-67
58,-95
92,58
53,90
28,76
-15,7
30,52
52,47
29,-53
-52,-57
0,38
16,35
87,84
9,-68
-25,-37
17,79
16,71
94,-6
-40,29
42,-37
-44,-35
99,48
-47,-87
82,-71
31,-33
-19,50
-16,-56
69,63
-17,76
-68,-82
-21,36
-64,62
-46,49
-88,-45
98,-9
-50,36
-38,58
-34,56
-15,-54
-56,-69
0,85
-54,-51
-87,72
-93,32
-91,-74
-87,-81
20,82
83,97
42,-68
30,-7
54,-5
-70,86
64,9
75,85
59,63
-59,-10
-6,-73
2,99
-72,91
-77,-79
-45,-33
-30,-98
73,-32
64,34
43,29
14,54
-54,53
62,-88
90,-12
-12,-49
63,15
55,-63
-21,11
92,2
62,-69
-35,-99
65,56
-28,-89
-75,-49
-36,25
3,-15
-6,92
-36,45
45,-7
6,30
-91,60
49,-77
-12,-41
-66,40
71,56
-80,-15
11,-59
53,-99
17,-47
-36,37
-38,90
14,2
61,83
27,-84
-34,-57
94,90
39,46
58,99
-65,-14
-51,-21
-31,82
-67,-54
69,31
-6,-46
-77,-88
96,97
85,4
61,72
-88,39
-50,59
79,15
78,78
-65,-13
-52,64
-53,83
-11,43
57,-13
-46,-8
-9,39
53,99
-74,58
-50,-84
2,-77
-92,-1
59,78
-29,0
94,-68
-10,-41
66,-8
51,-69
-69,90
42,52
54,45
-4,-93
68,-48
43,-77
34,7
-32,79
14,92
14,-11
-6,-22
84,81
-74,-13
-9,18
91,54
97,-80
-99,23
71,-66
27,-63
71,7
66,89
71,37
-49,-95
24,81
-87,96
98,-56
46,43
-20,50
81,-47
-21,90
25,81
45,71
