77,-12,75,-73,-63,-79
47,-37,63,23,-82,85
94,-5,-13,61,-20,-7
76,-85,47,-1,-47,-56
12,-69,93,32,-33,59
-12,21,-1,85,75,-44
-36,-20,46,14,4,76
-29,49,-41,-53,83,-96
64,-90,37,-76,66,-68
25,-83,49,8,48,14
-85,-56,-70,-19,86,-88
-25,-46,34,86,33,47
-27,22,63,-99,47,47
-57,4,26,60,22,-25
-97,4,92,32,-19,64
54,21,35,18,44,-47
71,24,26,51,-66,45
15,81,24,-46,-67,89
86,80,88,57,89,-31
-20,80,71,37,93,94
-9,10,-63,88,-99,85
-30,-85,-21,73,7,92
-91,-80,39,-62,-39,-33
-48,-90,5,-2,32,-3
-86,-85,-77,-47,-97,-34
96,-35,85,-7,-87,2
10,50,-27,-43,11,-99
43,92,-80,23,-16,-47
-21,17,-37,-60,-44,94
92,-40,16,-91,33,44
-48,78,54,31,21,94
-44,-66,-95,-19,-91,-6
-2,92,5,-17,-60,51
-52,-96,8,-66,92,-35
-35,-39,10,-8,-92,73
46,97,55,49,-68,-48
58,76,42,47,42,80
10,66,23,56,-64,-70
71,-15,36,-25,-49,-13
79,-46,-68,-61,61,33
56,59,-74,23,-84,-33
-4,90,-25,41,-26,96
61,46,-43,49,-18,-92
45,59,80,-61,88,-34
76,10,62,3,-84,2
54,-99,89,-9,85,-25
39,73,-88,-83,-66,53
45,11,-25,-65,-69,-56
57,-11,-18,99,32,0
-93,81,23,-16,-3,10
-86,-95,80,54,-41,32
-10,68,-1,39,58,-66
12,-88,-59,-49,-41,27
57,14,94,-88,-61,-76
-70,53,-68,64,7,2
-10,20,-45,-99,70,80
74,-98,48,-23,85,57
-86,-83,5,-20,-52,-28
28,94,-23,-71,62,69
52,-76,-97,-4,1,61
48,-18,11,5,-64,-88
54,-10,58,54,14,87
17,-62,-69,-33,69,11
-2,48,-2,-58,-28,-12
36,55,-43,-27,-17,-80
46,-6,64,67,94,41
36,-88,10,-100,73,-42
-17,-98,79,25,29,-94
-45,13,10,-30,17,-80
-30,62,-49,-41,86,-17
-11,63,-65,37,82,-87
73,-95,92,-21,-82,-64
87,50,-73,-15,-59,-2
5,81,-86,-59,11,59
91,56,-58,78,-23,54
-53,-1,-46,-40,-16,61
-31,37,-35,-48,7,-11
-87,96,29,62,20,29
15,-60,-79,-19,-81,-2
-14,10,93,-34,-39,-66
89,17,-80,-5,3,36
-60,86,88,37,-50,97
-88,10,-84,15,20,-97
51,-83,-11,65,87,3
97,-30,-36,21,16,6
-65,1,57,30,-75,-4
-21,-84,48,7,-88,-10
-74,14,7,67,-23,86
58,-74,-56,-27,-19,-7
-99,-11,-28,1,-45,94
-16,88,4,-76,48,-52
20,23,-30,67,99,-33
33,54,-12,-59,74,-4
73,26,-50,92,-5,15
-22,-80,57,-92,0,69
-97,-6,-72,93,-63,-43
-29,50,18,-60,95,67
-7,-92,-62,80,52,24
-84,54,-54,46,9,-29
38,62,-93,-47,20,-80
4,-88,79,-52,-92,80
-12,52,74,-67,23,74
1,59,-72,-78,21,-19
-42,-98,75,44,31,64
-84,-97,87,27,-47,27
1,-97,-24,-80,-63,-84
22,-7,15,56,-28,36
42,70,-93,-48,76,51
73,-22,83,92,21,-60
-76,-38,-46,31,-95,-21
66,-97,-43,10,36,-38
87,75,-45,44,-48,10
0,100,71,78,34,-98
90,5,51,48,-38,6
6,77,-18,44,-86,-22
72,48,36,19,44,-97
-64,74,-25,-20,36,91
50,-1,82,-7,-15,29
67,-8,45,-41,-80,11
-17,27,-65,-58,72,-81
48,-26,33,10,-36,12
-19,10,94,58,-44,-78
-96,-90,50,-31,-93,12
-32,33,21,-4,-32,-34
70,-36,72,-15,66,16
-42,-71,62,-72,-41,-84
-86,-47,-43,41,81,4
-32,-78,-40,73,50,-45
-72,95,98,-11,49,-11
-7,-77,75,-47,-70,88
-43,15,27,-1,-33,42
-91,-6,-65,-8,55,0
79,-72,100,82,-68,-34
-14,4,-39,-5,-84,-68
24,23,-62,27,24,70
46,13,-31,93,-86,-40
73,25,82,-23,0,-96
45,57,-75,-76,-11,99
1,95,-84,-11,24,-38
-81,-38,80,9,79,31
-36,-61,-39,57,31,82
48,-32,28,-56,33,-81
-39,-53,-85,-81,-97,0
-66,57,5,65,-74,-66
-57,-76,34,99,51,4
-78,74,-52,-15,9,-9
-58,63,74,38,44,-88
-88,-98,-100,-21,33,-26
-70,-2,78,-22,25,43
-45,60,-91,-71,-27,56
-33,80,-42,81,-45,-19
12,-79,97,74,73,5
-31,-71,-98,91,-35,-2
-51,16,-39,-99,-92,-43
78,-74,69,-95,98,88
57,83,-74,88,80,19
-23,38,90,90,11,30
-57,-23,-61,-13,-48,-88
-38,-69,-70,-63,-50,97
8,-16,-53,32,48,-47
26,64,-53,55,17,51
-97,-66,73,91,-35,-28
40,-6,74,-53,84,8
-8,85,44,12,-65,97
91,-57,26,-74,36,-95
40,37,30,80,36,36
-57,-32,20,66,-79,-23
91,34,-20,-20,-95,-54
2,-100,17,-74,-78,-55
-8,-29,-61,33,23,-68
99,85,-26,-32,-82,18
66,11,55,24,26,6
72,45,89,42,19,97
-43,-29,-1,-92,65,31
71,20,-84,-40,-2,83
-55,-83,-21,-50,74,90
-64,-14,-29,-77,68,-73
27,50,74,77,-98,-61
5,83,14,45,81,-31
-38,45,45,83,-69,13
38,6,44,-13,18,-46
90,-89,-62,-32,65,-60
98,-7,-38,87,85,31
44,83,64,-79,4,-89
-95,-37,-84,-11,43,-66
41,73,53,51,-94,89
-33,93,-62,0,-76,88
-34,50,-50,18,-30,19
17,32,-16,12,65,80
-39,18,33,57,-12,-26
39,-18,-41,-21,55,-31
11,-47,-8,-83,-33,13
-45,-26,35,-69,48,-3
-74,84,-14,73,-92,-25
-78,72,53,-2,-56,93
-88,43,59,-28,-85,28
-12,-61,-27,59,32,40
-42,51,89,47,81,19
60,-66,77,79,65,-43
-43,38,44,-78,-92,90
55,74,-28,73,51,56
-50,85,-6,-23,-85,5
