53,20,-47,-38,-94,-66,22,96
95,-100,-18,42,-15,90,50,13
-82,-93,0,72,66,-14,40,56
-7,84,-87,-19,0,45,27,-13
-85,38,-53,-86,-56,60,-17,-86
-95,-29,4,-31,-10,15,-90,-21
-31,73,92,-64,41,3,1,-26
29,-87,50,-58,43,-44,-75,-7
35,8,-70,34,71,3,19,31
99,-69,78,-76,100,-52,1,84
11,83,-86,18,-46,-81,43,44
-72,74,57,94,-10,85,-27,48
94,34,97,58,27,-100,10,-27
17,71,92,-56,41,-32,88,57
88,11,26,21,25,-33,-30,68
83,59,49,-55,-25,-6,-6,19
27,-53,-20,5,-15,73,-33,-89
9,61,58,13,70,71,-6,84
23,35,-63,45,-74,-72,39,-66
92,-66,-15,-40,88,-11,-4,-82
-33,29,87,24,-10,-10,42,9
-12,85,30,71,8,100,84,42
-70,98,62,-100,-20,72,-26,4
-24,-32,26,32,-81,-50,88,-96
1,-77,1,12,-25,36,-65,-83
-75,18,-27,-22,-27,62,-56,-22
-52,35,45,-55,-22,18,90,-54
-26,-18,-12,86,89,88,-11,11
-99,-66,-80,42,29,17,26,53
74,-2,-21,-47,-86,60,20,9
69,-30,60,-33,-89,52,25,-91
-62,35,-77,85,48,96,86,44
21,29,-100,-74,-49,14,96,68
60,-40,-61,1,-41,-99,-73,-47
72,30,21,-10,40,-41,0,64
-57,-12,-50,62,82,-37,-56,29
30,-79,48,30,29,-46,-80,-9
40,18,-33,38,0,-57,48,0
-89,-66,19,21,13,31,-72,36
-2,-43,73,47,-74,10,-75,-36
5,-82,-52,92,22,22,87,78
-61,-78,-97,97,35,68,-41,79
-8,-8,-70,-64,24,-47,-17,92
51,24,79,-49,11,-68,-87,88
-48,-42,53,97,-56,-46,-84,-59
10,71,65,26,29,21,-77,-57
-60,91,14,75,-5,76,86,-53
-35,72,-81,-36,-15,-57,-85,52
-91,89,61,-67,-95,80,-80,20
57,-10,23,-32,26,-68,19,6
-98,-24,68,42,-69,9,-30,-21
46,-3,49,-29,-58,24,27,7
-51,99,12,-5,78,-41,89,89
-45,64,-94,-97,-74,79,-41,-11
-57,17,-93,89,-99,-17,43,65
24,-59,5,14,-23,65,44,-12
-45,-24,84,44,-79,8,9,35
-8,20,36,-35,-38,-72,-87,98
0,44,69,-50,-42,10,-15,22
86,55,-19,89,53,24,-99,-21
-41,2,78,70,42,-73,-52,70
99,34,65,-97,35,-90,-17,-27
32,-59,-59,88,-69,64,-23,85
52,4,47,92,-1,63,-16,-74
-76,-100,11,-50,-17,42,35,5
66,27,-26,-25,42,-87,-81,-21
-52,82,42,-87,-49,-51,35,48
44,55,-18,-66,-95,-52,73,-36
53,41,49,-25,-28,73,-57,91
-82,-57,12,-19,12,68,98,31
-90,90,-33,56,-89,-89,26,-100
-21,-100,90,-85,96,-38,-12,-25
-60,39,50,-35,89,-69,45,-37
-17,-6,-73,11,8,15,-69,79
-79,75,-3,97,17,35,-27,-10
89,100,69,36,77,71,23,-25
28,-8,-7,6,69,-31,-61,15
-70,59,46,-8,74,12,44,-97
76,-38,-18,52,-70,5,75,-39
49,-55,-24,58,-100,96,-100,79
69,-21,69,-85,72,-9,62,-8
5,-53,-20,89,-85,-85,-100,79
-79,58,28,99,-95,42,80,-90
-25,12,-5,91,-31,47,57,-72
70,47,-3,-96,62,2,-20,-64
-52,-18,89,5,-61,-67,3,-78
-81,91,53,-74,45,-62,-82,62
50,60,-8,40,-66,45,-47,-20
-65,36,59,-54,41,-46,97,92
66,-16,17,-55,84,82,-42,80
-97,24,20,49,-35,-5,-90,24
-51,-51,-69,-82,100,-74,-39,-43
-65,92,-57,-43,-45,-13,34,-21
51,-63,36,-65,50,0,33,54
65,-81,-43,-1,-80,-30,60,-72
60,-78,-69,-30,-84,87,-32,-50
49,63,-58,-60,-7,-49,-36,-87
5,-49,50,-14,-35,33,-98,1
-60,80,18,4,70,53,75,84
-81,39,-45,53,-90,-12,95,-70
-88,23,35,26,-95,74,87,-36
-75,-48,24,23,34,-58,9,55
-39,87,60,37,62,90,21,-39
-99,-14,-49,75,-77,-22,-68,23
-69,1,26,-63,-21,1,79,97
21,-58,80,-94,-95,20,10,44
100,60,-86,-53,99,18,46,-27
-87,-96,-51,-53,0,-91,-96,-38
-48,63,-97,8,17,87,-94,100
6,63,43,90,45,10,56,-61
75,-52,-52,-8,-25,81,22,77
49,23,-98,-47,-56,-54,94,44
63,-62,79,63,-77,-23,-94,-70
21,-97,84,-31,-25,27,58,-74
87,91,-15,-88,37,44,91,50
62,-70,67,100,-7,75,8,-95
18,72,-88,48,60,43,23,-3
6,-48,-49,-35,-38,-87,37,-85
79,-29,-79,42,39,-42,65,51
-46,87,-74,-52,-71,-54,-40,58
97,5,-52,-1,-21,46,98,48
-72,-61,-74,77,71,-97,93,14
39,-22,63,-24,35,49,-53,-67
82,-76,-32,-64,14,-55,14,31
-94,-59,-63,-12,90,87,-19,-11
8,9,-52,20,84,-62,-9,-66
97,-33,-43,28,70,-49,-25,62
100,93,-5,-53,56,18,-53,45
56,4,-57,-69,43,-38,-89,96
67,-37,41,-29,57,1,1,49
23,0,48,-54,-43,46,-88,25
-91,-54,78,68,0,14,73,63
-96,23,6,-21,22,-30,-57,64
57,-38,-17,-94,34,-62,-72,15
44,25,-40,-57,-31,29,-69,39
78,36,-43,25,-40,-68,-38,-47
-29,-24,-1,16,-74,-26,2,-92
97,-2,47,-5,38,-43,-46,2
13,-99,-67,-73,19,54,1,48
57,22,-46,-77,100,-49,-61,-89
-42,57,64,70,19,-82,81,-42
31,36,66,-29,28,59,-50,96
53,-41,-11,34,-57,-58,-56,-87
17,31,-28,-79,53,-35,41,72
15,95,60,42,-23,40,86,56
-62,69,-87,55,59,-88,59,-6
-59,47,-56,-95,-86,56,87,84
-23,-4,-53,-100,-32,-72,59,-72
35,-51,66,-92,-29,83,1,14
-99,-44,-74,73,46,-36,-21,28
46,97,-99,-39,10,68,48,-25
-78,-49,88,-75,-9,23,-32,-32
-29,82,54,-75,41,-22,-36,71
-54,-14,93,-83,51,95,-23,-37
-63,6,3,63,36,91,-36,-15
-1,-7,46,-89,7,60,-16,2
-71,84,-71,-39,51,-11,68,69
-11,-20,6,83,4,-57,-85,-36
-65,-29,-18,-23,87,54,32,73
-34,-28,-25,-33,91,50,-91,-99
92,-42,-28,-19,-42,-82,-56,-32
-57,26,85,86,-65,100,64,-69
13,69,-51,51,-98,96,-41,88
86,-62,73,0,46,29,-89,-15
25,-13,-23,-69,97,-58,-70,-14
-76,93,-53,-36,58,-85,-18,-90
-16,-5,56,-15,-72,46,14,-16
-23,-55,25,20,-93,24,29,-2
-63,-59,-50,29,-60,86,-48,-27
45,92,-98,-10,12,95,-10,-34
-88,27,-29,-33,70,57,-3,0
-16,-3,-23,-63,-12,43,-63,-85
85,78,52,-97,-91,3,94,-8
100,97,91,-91,-2,39,68,66
-74,20,35,16,72,-50,-48,89
17,-25,-39,48,54,36,26,97
-34,-82,-85,64,98,17,-90,-96
76,-11,98,22,0,-15,-99,88
-75,92,81,2,-27,-99,81,-77
-13,-17,-18,-26,-30,29,96,-6
-71,-65,-63,-66,79,-9,27,74
-22,-83,55,12,94,-62,-93,-23
-66,-18,-54,-17,-95,-33,49,-61
-16,97,86,-91,-41,64,89,-47
20,-99,8,91,26,20,48,-79
-98,-7,61,-84,1,-59,25,-65
25,69,95,12,-88,12,-53,78
37,4,0,-57,44,-1,70,-21
-18,-29,-12,26,27,-4,61,50
50,58,75,69,-83,55,-39,-60
-27,-51,-2,70,64,1,-15,-44
-27,41,-20,87,77,45,57,56
-83,27,43,-47,28,-86,-3,74
67,93,7,98,-29,-79,60,-14
-24,15,86,48,10,63,9,5
-72,-17,-64,67,96,40,9,-22
-72,-98,4,-19,-19,37,68,33
51,-27,-47,-84,97,-6,-64,-96
-37,68,-26,-71,90,31,-44,46
60,-45,50,-93,-30,-44,-24,-73
59,53,6,-54,57,-68,15,-97
-2,37,95,58,45,98,-80,-39
53,25,-1,-82,-65,53,-30,89
7,75,-52,40,-36,88,-67,-40
-56,-1,60,6,-52,-74,-96,-84
-97,-44,92,68,-52,-50,-64,-26
-55,45,20,-67,80,61,-88,33
54,-98,-99,-18,93,-32,55,53
-97,-52,-19,7,-70,49,93,-46
-95,45,1,4,-41,-20,-36,91
23,15,-34,29,-90,-92,-40,0
76,84,-44,-29,97,39,44,41
5,-27,-25,26,14,39,-11,-66
-10,-24,0,-92,61,6,80,22
97,74,-72,-61,-77,2,-2,68
-85,-38,31,-76,-75,-88,-49,70
99,-67,44,-92,-19,19,-100,-51
73,-10,-33,87,-40,74,-62,-93
34,59,95,15,-14,7,-93,74
-9,-90,8,-19,98,-58,1,23
85,78,1,22,25,-84,57,54
90,50,0,29,33,-65,5,-83
63,70,-91,70,-54,-78,47,-68
-12,-79,48,62,-59,-73,-68,-48
-98,-77,25,-38,-39,-17,19,6
84,65,-84,-29,-97,-63,-57,51
95,-29,-70,23,1,30,16,-45
-54,2,-46,-65,17,2,-40,-43
-10,-83,84,44,-39,86,-63,15
59,-46,-34,-21,-52,-88,-5,-39
66,-11,-50,-20,-53,-21,39,8
-36,83,-14,-37,-82,-100,85,-35
-60,92,16,67,31,-95,-56,78
72,-64,-46,79,99,-53,-20,-92
61,-54,13,-95,-47,-89,21,-34
-5,80,-13,60,-57,10,-65,-83
49,48,-74,87,43,13,-62,-13
25,58,82,-45,-69,25,24,21
-41,-8,-72,-70,96,-94,-87,-74
46,21,39,58,50,88,66,77
4,41,11,4,29,-61,-54,-62
80,-71,48,24,-56,-52,57,-68
-97,83,-91,-96,-50,40,-93,-8
-42,-25,-25,66,72,84,66,-57
-95,-73,-50,-3,-77,42,-96,-56
-79,-37,62,-6,-40,11,-24,-96
-32,82,59,94,-49,-26,-88,79
-62,-61,-46,-92,49,69,60,-15
-37,-27,-85,-68,-57,-24,-30,37
-79,-9,70,-75,-28,10,51,-10
-58,-49,-17,13,-86,34,-70,63
-38,-23,-58,58,32,-98,-29,-39
-68,5,92,61,61,-68,-19,91
-67,16,18,-25,-67,95,-13,39
27,52,-31,-45,-84,61,49,98
-82,48,-95,-42,36,12,48,49
96,54,-70,-68,47,42,-39,25
-88,68,77,-70,-74,86,-56,7
-89,97,-42,-31,-66,-89,46,-49
-17,91,66,8,-56,-52,89,10
83,16,-15,24,-61,39,-33,28
