-84,-36,-64,78,3
-50,20,-15,-51,12
98,-4,7,-9,19
-73,52,-82,91,-30
-57,83,29,54,-49
50,-15,64,23,-75
-53,-31,-58,24,-84
0,-78,-23,-35,-61
20,67,73,87,-55
-5,-11,30,-74,-12
-62,38,-88,23,-5
-6,78,76,-6,-55
46,-69,-93,-11,53
-33,-39,-58,47,-45
41,-44,-97,86,-91
-33,-14,10,80,89
-63,60,87,93,96
-92,32,31,88,71
-98,-58,-9,-58,31
93,4,38,-56,9
17,-100,46,5,-39
-17,-9,-2,22,-4
-27,-11,-27,51,-88
37,56,23,-81,-40
-10,33,97,29,23
-43,29,7,-74,98
32,45,52,-34,-68
0,-3,-41,85,89
-29,-23,-80,96,60
77,3,-6,-56,-69
-58,28,37,-81,-18
-32,-73,52,66,-6
38,99,73,97,-38
1,47,-58,-5,11
38,29,-100,-31,-97
-64,17,34,-58,52
-28,-50,-86,74,8
63,-15,-52,-90,34
58,-66,-85,-76,96
54,71,-38,-34,-62
-80,84,-39,65,-74
18,56,71,-94,18
-75,-71,-80,88,-68
-88,-6,67,-42,99
-24,-23,70,-4,-27
60,-70,39,-79,85
-87,82,14,-56,81
48,4,-57,-57,-11
-54,36,-11,60,86
-16,-70,-87,56,51
-79,-53,-24,-45,-65
8,21,-67,5,-93
92,-34,82,84,20
-76,-94,4,89,-93
-38,64,98,-7,-1
-33,-26,82,-12,12
-81,9,-19,-89,35
-42,66,-83,16,70
-91,66,-63,-16,-51
86,-59,28,43,-13
100,-66,96,-51,-66
-7,-60,-51,42,-20
-21,19,-67,-53,24
11,-69,-20,93,22
-93,83,-33,4,45
-35,31,83,-37,-69
-20,-63,-86,51,-35
-15,15,-73,97,-9
34,32,-5,-29,-56
-80,-63,-12,54,32
-63,-36,38,70,33
-68,49,89,-35,43
-84,-60,100,-22,66
-29,-51,31,-45,88
96,76,-91,52,-45
48,97,11,64,57
41,-60,-3,20,45
95,50,0,-88,39
-74,90,-99,78,-49
-38,97,-53,-93,-98
27,34,15,-2,-28
-82,49,77,97,-41
-7,-12,11,-41,0
-91,-74,-43,-80,-18
-66,-82,87,-73,-40
-87,11,-98,26,28
-92,-10,48,54,-72
79,59,-84,-28,-90
18,89,-98,17,-84
39,63,-77,20,16
-59,-1,-62,84,58
-71,-70,22,-41,-14
24,39,-85,-61,-8
91,-89,-78,39,-24
-92,-39,-17,-6,-21
-27,87,40,-23,89
34,-65,30,-44,61
8,-48,82,-98,63
23,73,-40,25,25
42,-82,95,71,-63
-15,25,-37,42,60
-81,34,31,31,13
36,58,42,51,100
95,-7,80,46,83
5,-62,96,62,74
45,-10,-64,17,-66
45,-49,-58,22,-85
-64,-75,-38,-98,76
-69,-14,24,-43,19
50,97,-72,54,-16
11,-90,46,46,-100
-53,50,79,79,-67
-14,90,-3,42,15
-69,79,-45,3,-10
-53,23,91,-89,33
22,-93,66,-7,17
24,-57,72,5,71
-70,-58,26,48,46
-81,31,-72,82,-44
-92,-100,-72,-35,24
-31,22,-67,-56,33
23,60,-100,28,15
-50,-95,-13,-62,26
65,-26,4,89,-93
0,83,82,-28,-33
-23,33,70,30,75
53,46,-36,-16,9
-3,30,78,51,-23
-66,-27,-61,-94,-67
26,-54,35,32,-57
-7,-6,-60,-65,-60
39,91,-95,32,6
27,23,-14,65,-23
-73,-55,-89,-2,68
1,-10,-94,-97,-18
-48,-56,-97,-66,29
7,52,87,-95,24
-30,-53,100,1,-36
94,92,-68,-40,97
88,-86,-52,-2,-63
-63,-41,71,-100,-43
21,-84,44,-2,-98
28,-20,-4,-41,2
44,70,78,-12,-77
86,-26,45,-15,-33
40,-66,-43,100,62
41,58,88,96,-52
-46,89,65,-82,12
-42,2,87,-28,33
-77,81,-64,71,67
60,-90,-52,51,-76
65,-42,55,-56,57
-100,5,-26,40,11
81,-31,80,-32,-81
-56,52,10,-98,75
17,4,-86,78,41
61,7,-30,15,87
16,-90,-58,-87,-28
98,78,-27,17,58
-3,-35,75,80,37
68,-36,-85,35,58
-65,-89,47,-55,-80
37,60,35,-92,-28
21,-28,61,68,-36
-2,-3,23,-40,31
-31,-87,20,14,75
-42,-76,49,81,-81
-76,-33,-32,-66,-15
-2,98,-16,-73,-58
-4,-95,-91,-14,54
73,-94,100,19,-42
7,30,-7,14,-48
99,47,54,-80,46
3,-94,82,-9,-10
79,-60,-34,-99,-14
-70,-56,-59,-68,-69
-52,85,-2,-89,-14
-56,-7,-67,-58,13
-96,39,-11,84,-80
41,8,40,-27,2
-64,-2,-55,14,-80
-7,67,65,93,26
53,-33,-80,57,100
-70,-1,90,-37,69
-48,-10,-71,76,-51
37,-55,-55,-81,3
-3,53,96,72,-41
