43,-58,-15,53
-84,23,-86,70
-100,27,-86,-57
-52,-53,64,-46
-91,58,-36,51
74,-18,-34,26
73,26,-83,-56
89,-37,-11,-30
56,62,-47,17
-14,-58,40,-7
-7,36,32,78
-10,-75,79,-7
60,-39,-57,-42
-35,51,-62,-51
10,-63,-68,-43
70,99,-4,10
24,43,-95,-66
-76,22,-9,62
-57,50,-45,82
-85,-26,91,90
-1,75,-10,-87
39,68,96,12
-79,-1,26,5
-65,85,-58,-13
-63,-41,23,-48
-14,-43,79,71
52,86,1,-61
-61,-12,-25,41
-34,42,33,-58
84,56,-62,12
-68,96,97,31
-41,2,-64,40
83,-95,17,67
-78,-87,-40,62
-51,79,-18,-41
92,82,-25,-50
-4,-98,-20,-84
51,-66,-1,96
-19,-50,68,-34
56,11,37,50
-67,48,-21,99
56,-99,-83,3
10,-52,93,-40
93,70,50,28
14,-69,-85,-37
-90,65,-73,-48
77,-36,-50,44
-75,-45,95,69
67,-97,84,37
6,-73,-92,-87
-74,-90,7,22
-5,10,44,67
-78,-89,100,-9
-45,-3,-79,17
-44,-60,-32,-43
-92,39,94,-82
-61,-35,68,96
-28,-42,75,71
12,-22,-35,-47
65,-74,-42,24
45,-11,60,-82
-3,86,54,-72
-79,100,-81,48
-35,-86,94,59
14,94,-71,6
89,-1,-1,-8
-87,-20,89,28
7,-54,-72,-11
16,86,-32,56
32,-12,71,29
14,-94,89,45
-97,20,82,-24
69,46,12,20
15,-60,-60,51
-50,-8,12,-71
-67,-8,-54,9
-69,-31,-52,-61
-58,60,-28,-78
1,-6,52,41
95,-29,40,95
-57,-6,13,-30
-80,76,-68,3
72,-60,38,22
41,-52,-51,65
-84,-73,54,-41
62,-37,56,-83
53,-75,-49,14
-11,81,37,-56
-86,-55,22,62
-85,70,0,7
-3,65,-4,-88
17,-80,-93,31
-54,23,56,-30
72,70,67,-29
33,50,26,-11
58,-93,-83,83
-19,-2,66,-6
43,30,28,42
-25,-4,-24,-60
-35,40,-17,-38
-41,76,-31,-43
58,-15,-58,93
93,44,4,-1
53,96,-90,-23
-78,26,-90,29
-87,-15,-49,-61
91,99,-30,-39
-29,2,46,100
-40,-29,-23,-25
97,75,98,-72
98,93,-44,45
76,-70,-67,-9
-100,30,-16,57
61,-38,82,45
26,67,-29,-21
-36,12,23,96
-99,92,-34,-40
81,-27,-89,-6
-2,37,-35,43
37,19,-29,34
-80,-74,36,-81
93,20,58,-30
13,25,-31,88
0,-40,-80,-69
27,56,-83,-81
-93,-41,-29,-96
69,81,-37,51
-24,81,-53,45
