96,9,10,-52,72,54,-86
-88,-1,-84,-34,-26,27,-60
32,0,67,-89,-28,60,-20
39,74,45,-70,18,-8,-1
-40,-56,-59,-63,-71,94,85
-1,37,3,60,84,65,78
12,-88,9,44,-54,83,33
-21,56,-80,-73,-51,25,-43
-74,81,-35,-57,68,-11,-57
85,-70,-57,-82,-66,-69,-37
-38,99,-21,31,75,-28,-7
-5,2,-41,-24,-90,-95,-77
-64,82,14,74,92,-43,-59
11,-74,-26,73,43,-68,95
-4,9,1,95,32,87,-23
-31,70,77,73,-70,-81,80
67,69,53,-12,-8,67,-71
-4,-44,49,2,98,-48,72
33,42,-75,-36,73,-31,-59
-15,33,-35,-59,-46,-14,-28
44,-11,-34,-33,92,-27,5
83,18,-60,-89,-75,-87,65
-24,-90,-37,-73,0,5,-35
11,46,39,48,-70,17,-99
47,-20,-12,89,-14,-22,-8
19,-93,50,-33,-33,-94,-18
55,37,-57,39,85,-7,49
-12,73,-37,3,-17,74,-91
-71,72,93,-79,14,-37,-17
-67,-66,-1,23,63,96,-44
40,32,-39,-25,86,54,42
96,24,-21,4,-57,66,-75
2,-18,55,55,-20,-92,8
99,92,-63,19,14,-32,-69
89,-14,90,7,-61,6,2
26,78,79,59,-34,82,-4
47,72,89,-65,68,5,31
56,66,97,32,-66,5,36
39,-1,57,29,-2,95,-30
88,-75,-96,82,3,41,16
-12,41,-38,52,-50,-67,2
12,-93,12,78,16,-2,13
-77,24,38,16,75,-16,-2
-13,23,27,-87,65,59,55
-5,61,-79,63,-33,49,48
32,-66,15,-61,-30,-9,69
-63,-54,88,20,90,79,-51
-76,95,-70,-41,64,96,76
73,57,-72,-82,24,1,43
100,0,-29,69,-92,-3,-55
21,36,-69,-65,86,-35,41
13,12,-32,-17,-40,86,7
12,12,-10,-43,-81,-83,-85
14,60,66,86,-55,3,-59
-46,-65,-80,64,-73,-56,41
46,57,14,79,41,-30,59
-3,88,32,-92,83,52,2
49,-4,88,-18,56,-10,-77
-64,95,-35,-99,-50,-55,11
