77,22,85,34,49,-81,-43
-12,-62,28,53,62,-79,-91
-41,-65,60,78,-46,27,66
75,61,-57,-53,79,2,12
11,67,-73,74,5,-94,65
-85,-25,66,-1,72,-44,93
-95,-82,-4,-26,-62,-93,-16
35,-52,-14,62,56,-47,88
16,-88,-20,39,53,100,91
-60,-58,65,-87,-14,78,-94
-32,1,-99,55,-25,-27,-32
-14,12,-46,32,-37,-8,-25
-99,5,29,3,47,-43,-23
-70,-68,-41,87,-87,-17,-77
43,41,-15,-37,-66,72,-6
-50,6,-40,75,4,-80,69
49,93,91,-9,16,-14,95
-50,-94,-12,100,-26,-76,-63
66,-52,25,-64,23,-24,-64
0,-62,70,-5,65,-78,17
45,-27,42,24,-14,-82,68
31,49,-11,-20,-93,54,-67
76,14,-59,14,16,77,-17
-3,30,3,47,42,-51,-48
78,-68,24,88,-41,-25,-24
-55,-74,-62,60,60,48,29
93,91,16,51,53,-2,-79
13,25,-65,-76,-65,21,40
12,23,-56,-78,-64,-98,-7
28,-71,20,-8,-22,-61,1
40,42,77,20,-4,93,-95
-45,-24,-54,34,35,3,4
-4,-51,56,40,-42,35,59
19,39,-25,-56,29,73,5
43,27,29,-100,59,77,-65
-42,95,89,-6,6,32,95
12,66,73,-42,-57,94,30
-9,95,25,-44,-92,-62,27
-65,76,-70,-89,67,-44,83
-71,98,41,-42,-5,99,-48
35,77,69,19,-83,56,38
-32,28,-6,40,-10,-48,-90
99,-93,-5,-15,12,-15,-26
18,91,-11,83,19,-37,47
-58,83,5,16,-96,-42,-50
-12,1,-44,-25,43,-36,-88
80,-77,-87,85,-44,-28,-31
8,89,0,94,4,61,44
-25,2,42,-15,89,-88,-100
-42,17,37,24,61,89,-67
-45,-43,-54,-20,-43,25,56
53,-27,95,-93,54,-42,-81
87,-34,-13,-100,-13,-61,96
97,18,-60,71,-10,-33,-33
-18,-72,-9,-54,48,98,-29
-5,7,-45,44,92,61,19
-21,-9,75,0,21,-65,-30
-9,27,88,-86,-42,80,74
-63,-87,5,-13,-79,48,-58
16,10,55,90,-31,82,-10
-96,-76,86,28,33,-90,-21
-17,12,87,-41,-96,-7,67
-49,73,54,-52,-88,-60,96
-15,89,49,-23,62,30,-97
1,46,-21,66,57,-53,-41
48,-89,90,-49,-78,-75,-29
75,77,26,-46,-90,-46,85
-80,56,48,-87,-28,-92,78
11,61,100,36,19,-20,70
-2,-48,-61,80,-48,-36,89
-100,-35,-24,2,70,-67,93
21,46,-19,31,54,-51,-50
34,-76,6,74,-36,3,11
-38,54,-80,52,-100,94,-85
23,-64,45,69,-70,-100,32
52,17,2,38,-44,-30,87
-87,94,-8,82,-34,63,67
-69,-11,28,-47,69,73,-87
7,-43,-80,-10,-69,55,-59
39,-37,69,-93,91,-14,45
54,59,12,77,-41,-58,-58
99,30,70,-4,-87,77,99
63,17,-14,8,-16,-7,60
37,-6,3,-73,59,43,79
-81,-74,41,-64,-19,100,34
53,56,-85,86,-3,13,-3
72,1,-46,2,22,-65,36
-74,37,-63,-95,7,73,-47
-38,-79,76,55,10,-37,-78
-70,69,-95,72,-25,65,96
-3,16,-26,61,86,-100,94
93,36,-100,9,-41,-25,-13
23,31,-74,-69,47,94,18
-15,73,-5,91,-65,-3,-4
4,-92,-42,-96,-75,-39,72
89,-31,84,-12,-28,-57,-53
-4,-96,69,99,17,-87,-93
1,-27,-45,-81,30,-63,-49
6,-7,-18,0,-60,69,-21
0,-13,-20,-97,-78,-82,64
-63,87,-44,56,-9,27,87
46,-51,-25,-33,56,-33,33
38,62,-69,-7,73,-28,-47
-5,-88,-79,89,77,18,26
-41,75,81,-52,69,-1,-12
-60,67,-18,6,61,100,25
-26,31,29,-57,100,-84,-6
84,5,37,-30,-49,49,-4
-58,61,-77,26,7,-40,44
91,43,-36,-15,-73,8,-39
90,100,-86,45,-42,-77,-17
-42,-61,-75,79,24,-54,41
-40,-64,-17,-85,34,68,-23
97,3,-94,-93,-18,30,-60
-75,-95,62,9,-68,-48,89
69,47,-1,-92,79,-100,-19
34,57,-97,-35,7,77,82
-38,21,15,32,75,-51,-89
-35,-9,-23,-45,85,49,-94
48,-48,-11,18,41,2,-87
-41,67,10,10,22,74,-75
-35,59,-92,-77,-55,3,-1
27,-100,30,83,-57,99,-30
-64,-69,-24,81,-71,-54,-74
-44,-42,94,41,-98,46,-77
94,31,-62,-51,-55,83,83
49,-1,14,-99,-45,-26,-98
-24,58,-69,-61,-80,-40,58
-65,-22,34,98,-32,-73,-34
21,-64,-86,79,62,-38,-80
46,67,42,23,73,-57,9
-36,96,93,98,-48,9,-66
-49,-36,15,-79,-11,-9,4
-61,88,-85,88,-100,-72,-58
77,95,73,-88,-2,91,-3
-71,-14,-78,-75,67,-42,-32
37,56,-39,54,-96,33,-68
79,2,79,-63,-29,-48,-46
-95,53,52,-1,-96,58,29
34,30,-79,60,47,-69,-82
